
----------------------------------------------- [START 2026-03-16 18:07:49] ---------------------------------------------------

Train Inter:100 | loss:  1.0217603 |BUAA_my_rm : 0.9996156 |CM : -0.012133863 |DM : 0.02214472 |TA : 0.12580806 | 0 hr 00 min
Train Inter:200 | loss:  1.0229129 |BUAA_my_rm : 1.004142 |CM : -0.012667089 |DM : 0.018770823 |TA : 0.13126212 | 0 hr 00 min
Train Inter:300 | loss:  1.0040829 |BUAA_my_rm : 0.99526846 |CM : -0.012193256 |DM : 0.008814512 |TA : 0.13958025 | 0 hr 00 min
Train Inter:400 | loss:  0.9979353 |BUAA_my_rm : 0.9877421 |CM : -0.012622966 |DM : 0.010193163 |TA : 0.13949025 | 0 hr 01 min
Train Inter:500 | loss:  0.90218616 |BUAA_my_rm : 0.89005864 |CM : -0.01238434 |DM : 0.012127535 |TA : 0.12679356 | 0 hr 01 min
Train Inter:600 | loss:  0.73580194 |BUAA_my_rm : 0.70152235 |CM : -0.013047719 |DM : 0.03427956 |TA : 0.12827748 | 0 hr 01 min
Train Inter:700 | loss:  0.38473403 |BUAA_my_rm : 0.37327713 |CM : -0.011325528 |DM : 0.011456892 |TA : 0.13594288 | 0 hr 01 min
Train Inter:800 | loss:  0.20724536 |BUAA_my_rm : 0.19297385 |CM : -0.011627336 |DM : 0.014271506 |TA : 0.12979853 | 0 hr 02 min
Train Inter:900 | loss:  0.09568353 |BUAA_my_rm : 0.08937645 |CM : -0.011739727 |DM : 0.006307077 |TA : 0.13152742 | 0 hr 02 min
Train Inter:1000 | loss:  0.076766506 |BUAA_my_rm : 0.071830094 |CM : -0.0111165885 |DM : 0.0049364096 |TA : 0.13712585 | 0 hr 02 min
